AAL
ABF
ADM
AHT
ANTO
AUTO
AV.
AVV
AZN
BA.
BARC
BATS
BDEV
BHP
BKG
BLND
BNZL
BP.
BRBY
BT-A
CCH
CCL
CNA
CPG
CRDA
CRH
DCC
DGE
DLG
EVR
EXPN
FERG
FLTR
FRES
GLEN
GSK
HL.
HLMA
HSBA
HSX
IAG
IHG
III
IMB
INF
ITRK
ITV
JD.
JE.
JMAT
KGF
LAND
LGEN
LLOY
LSE
MCRO
MKS
MNDI
MRO
MRW
NG.
NMC
NXT
OCDO
PHNX
PRU
PSN
PSON
RB.
RBS
RDSA
REL
RIO
RMV
RR.
RSA
RTO
SBRY
SDR
SGE
SGRO
SKG
SLA
SMDS
SMIN
SMT
SN.
SPX
SSE
STAN
STJ
SVT
TSCO
TUI
TW.
ULVR
UU.
VOD
WPP
WTB
